scientificName
Palaeobates angustissimus (Agassiz)
Pteraspis rostrata (Agassiz)
Scapanorhynchus raphiodon (Agassiz)
Stemmatodus rhombus (Agassiz)
Paralepidotus ornatus (Agassiz)
Rhadinacanthus longispinus (Agassiz)
Sardinoides monasteri (Agassiz)
Sardinus cordieri (Agassiz)
Thaumaturus broigniarti (Agassiz)
"Tristychius arcuatus (Agassiz, 1837)"
"Odontaspis bronni (Agassiz, 1843)"
Palaeorynchus glarisianus (Blainville)
Pycnodus platessus (Blainville)
Rhamphosus aculeatus (Blainville)
Protosuchus richardsoni (Brown)
Suevoleviathan integer (Brown)
Temnodontosaurus integer (Brown)
"Stegolophodon latidens (Clift, 1828)"
Temnodontosaurus tenuirostris (Conybeare)
Prosciurus relictus (Cope)
Pseudocynodictis gregarius (Cope)
Stegops divaricata (Cope)
Tetonius homunculus (Cope)
"Tylosaurus proriger (Cope, 1869)"
"Ptyonius serrula (Cope, 1871)"
"Oxyclaenus simplex (Cope, 1884)"
Pronotacanthus sahelalmae (Davis)
Pseudobradypus unguifer (Dawson)
Redfieldius redfieldi (Edgerton)
Sphenacanthus hybodordes (Egert.)
Stegomus longipes (Emerson & Loomis)
"Peripristis benniei (Etheridge, 1875)"
Scincosaurus crassus (Fritsch)
"Proscinetes  (Gistl, 1848)"
Stibarus quadrieuspis (Hatcher)
Scombroclupea macrophthalmus (Heckel)
Rhagamys orthodon (Hensel)
"Propalaeotherium parvulum (Laurillard, 1849)"
Ocalientinus floridanus (Leidy)
Parabaropus coloradensis (Lull)
Smilodectes gracilis (Marsh)
Osteoborus direptor (Matthew)
Petalorhynchus psittacinus (McCoy)
Platypterygius australis (M'Coy)
Psephodus magnus (M'Coy)
"Sipalocyon obusta (Mercerat, 1898)"
Phytosaurus kapffi (Meyer)
Protopirata heinrichi (N. & W.)
Peripristis semicircularis (Newb. & Worthen)
Pyritocephalus lineatus (Newberry)
Rhabdoderma elegans (Newberry)
Phonerpeton pricei (Olsen) 1941
Rhinochelys pulchriceps (Owen)
Protochelys stricklandi (Phillips)
Watsonia eugnathoides (Piveteau)
"Pachynolophus duvalii (Pomel, 1847)"
Parasemionotus labordei (Priem)
Stenopterygius quadriscissus (Quenstedt)
Redfieldius gracilis (Redfield)
Protothyris morani (Romer)
"Tremacebus harringtoni (Rusconi, 1933)"
"Periconodon helveticus (Rütimeyer, 1891)"
Stenopterygius zetlandicus (Seeley)
Paradaphoenus nobilis (Simpson)
Stethacanthus depressus (St. John & Worthen)
Oeonoscopus desori (ThiolliFre)
Pararyctes pattersoni (Van Valen)
Oeonoscopus cyprinoides (Wagner)
Palaeoryx pallasi (Wegner)
Prolebias furcatus (Winkler)
Scottimus lophatus A.E. Wood
Plioambystoma kansense Adams
Paleoniscus freieslebeni Agassiz
Platystomus gibbosus Agassiz
Psecosteus decipiens Agassiz
Pterichthys oblongus Agassiz
Pterichthys productus Agassiz
Pterichthys testudinaris Agassiz
Pterygocephalus paradoxus Agassiz
Squaloraja polyspondyla Agassiz
Prolebias cephalotes Agassiz
Psammosteus arenatus Agassiz
Pygaeus coleanus Agassiz
Rhacolepis buccalis Agassiz
Scaphthalmus minimus Agassiz
"Otodus latus Agassiz, 1843"
"Otodus serratus Agassiz, 1843"
"Placodus gigas Agazzis, 1833"
"Sipalocyon gracilis Ameghino, 1887"
"Sipalocyon  Ameghino, 1887"
"Perathereutes pungens Ameghino, 1891"
"Polydolops thomasi Ameghino, 1897"
"Pseudothylacynus rectus Ameghino, 1902"
Stereogenys cromeri Andrews
"Palaeomastodon  Andrews, 1906"
"Steropodon galmani Archer, 1985"
"Tropidosuchus romeri Arcucci, 1990"
Pseudoacris goini Auffenberg
Tiphomectris thoracomacha Baird (MS)
Pleuroplax attheyi Barker
Strepsodus sauroides Binn.
"Scottimus kellamorum Black, 1961"
Palaeobalistum orbiculatum Blainville
Pachyaena ossifraga Boofrons (?)
"Pseudotetonius ambiguus Bown, 1974"
"Strigorhysis bridgerensis Bown, 1979"
Steganoposaurus belli Branson & Mehl
Seymouria baylorensis Broili
Paranthropus robustus Broom
Paranthropus robustus Broom
"Telanthropus capensis Broom & Robinson, 1949"
Pholidopleurus typus Brown
Stanocephalosaurus birdi Brown
Punctatumvestigium circulformis Butts
Ornithoidipus pergracilis C.H. Sternberg
Trilophosaurus buettneri Case
Pachycynodon tenuis Chardin
Pseudanosteira pulchra Clark
Psuedanosteira pulchra Clark
Romeria primus Clark & Carroll
"Pterichthys rugosus Claypole, 1883"
Temnodontosaurus platyodon Conybeare
Plicagnathus matthewi Cook
Ogmophis oregonensis Cope
Parioxys ferricolus Cope
Peltosaurus granulosus Cope
Pleuroptyx clavatus Cope
Priscacara pealei Cope
Priscacara serrata Cope
Priscacara testudinaria Cope
Protolabis angustidens Cope
Ptyonius nummifer Cope
Sauropleura newberryi Cope
Sauropleura pectinata Cope
Stibarus lemurinus Cope
Teleoceres fossiger Cope
Toxochelys latiremus Cope
Tuditanus punctulatus Cope
Typothorax coccinarum Cope
Zatrachys microphthalamus Cope
Zatrachys serratus Cope
"Oestocephalus serrula Cope, 1871"
"Xiphotrygon acutidens Cope, 1879"
"Otouphepus magnificus Cushman, 1904"
Xiphidon gracile Cuvier
"Spinax  Cuvier, 1816"
"Tiktaalik roseae Daeschler, Shubin & Jenkins, 2006"
Plesioberyx dubius Davis
Pristodus falcatus Davis
Rhinellus damoni Davis
Rhinellus ferox Davis
Tomodus convexus Davis
Pierodus silberlingi Douglass
Promerycochaerus hatcheri Douglass
Palaeophichthys parvulus Eastman
Phoebodus knightianus Eastman
Protitanichthys fossatus Eastman
Pygaeus agassizii Eastman
Synthetodus calvini Eastman
"Tamiobatis vetustus Eastman, 1897"
"Palaeomylus predator Eastman, 1898"
"Phoebodus dens-neptuni Eastman, 1903"
Ruthiromia elcobriensis Eberth & Brinkman
Phthinosuchus discors Efremov
Platyops watsoni Efremov
Redfieldii redfieldi Egerton
Semionatus redfieldi Egerton
Thyestes verrucosus Eichw.
Rutidon carolinensis Emmons
Oxacron minimus Filhol
Pachycynodon dubius Filhol
Paleoprionodon lemandini Filhol
Proaelurus medius Filhol
Rhamphorhynchus suevicus Fraas
Pseudoceras potteri Frick
Orthacanthus bohemicus Fritsch
Trinitichelys hiatti Gaffney
"Stockia powayensis Gazin, 1958"
"Utahia kayi Gazin, 1958"
"Tetonoides pearcei Gazin, 1962"
Oreopithecus bambolii Gervais
Plesiomeryx cadurcensis Gervais
Prosthennops crassigenis Gidley
"Paromomys depressidens Gidley, 1923"
"Stenichnus yakiensis Gilmore, 1927"
"Tridentichnus supaiensis Gilmore, 1927"
Palaeobatrachus dilurianus Goldfuss
"Pronycticebus gaudryi Grandidier, 1904"
"Shoshonius cooperi Granger, 1910"
"Pseudomys  Gray, 1832"
Pleuroplax rankinei H. & A.
Strepsodus sulcidens H. & A.
Palaeomerys scheucheri H. v. Meyer
Pteroplax cornuta Hancock & Atthey
Palaeobalistum goedeli Heckel
Phyllolepis orvini Heintz
Svalbardaspis rotundus Heintz
