scientificName
Euconnus wunderlichi Franz 1983
Neuraphes
Homoconnus conservatus Franz 1983
Rebuffoichnus sciuttoi
Monesichnus ameghinoi
Coprinsiphaera isp.
Leehermania prorova
"Limnoxenus olenus FIKACEK, PROKOP & NEL, 2010"
"Limnoxenus olenus FIKACEK, PROKOP & NEL, 2010"
Leptodomus dolichopterus
"Ancylochira octomaculata PITON, 1940"
"Oisenodes metepisternalis KIREJTSCHUK, HÁVA & NEL, 2010"
"Oisegenius antiquus KIREJTSCHUK & NEL, 2008"
"Cupes ponomarenkoi KIREJTSCHUK, NEL & COLLOMB, 2010"
"Colotes impexus KIREJTSCHUK & NEL, 2008"
"Eunectes antiquus OUSTALET, 1871"
"Oxyporus impressus PITON, 1940"
"Cyphon gallicus KIREJTSCHUK & NEL, 2008"
"Colotes constantini KIREJTSCHUK & NEL, 2008"
"Macrosiagon deuvei BATELKA, COLLOMB & NEL, 2006"
"Iridotaenia hovassei PITON, 1940"
"Stigmodera unicolor PITON, 1940"
"Prionus sinuatus PITON, 1940"
"Eurythyrea micropunctata PITON, 1940"
"Prolamioides bituminosus PITON & THÉOBALD, 1937"
"Hipporhinus ventricosus PITON, 1940"
"Brachyderes longipes HEER in OUSTALET, 1874"
"Chlorida magnifica PITON, 1940"
"Adelocera jungi PITON, 1940"
"Ledouxnebria brisaci DEUVE, 1998"
"Eupachypterus eocenicus KIREJTSHUK, NABOZHENKO & NEL, 2010"
"Agonum antiquum PITON, 1940"
"Colotes constantini KIREJTSCHUK & NEL, 2008"
"Phytonomus incertus THÉOBALD, 1935"
"Pastillocenicus grandiclavis KIREJTSCHUK & NEL, 2008"
"Anisorhynchus effossus OUSTALET, 1871"
"Cleonus arvernensis OUSTALET, 1871"
"Eurythyrea viridis PITON, 1940"
"Lampetis (Psilopetra) aurostriata PITON, 1940"
"Hylesinus neli PETROV & ZHERIKHIN, 2004"
"Corticaria missa KIREJTSCHUK & NEL, 2009"
"Colotes constantini KIREJTSCHUK & NEL, 2008"
"Crepidocnema yantarica MOSEYKO, KIREJTSCHUK & NEL, 2010"
"Micromalthus eocenicus KIREJTSCHUK, NEL & COLLOMB, 2010"
"Gratshevbelus erici SORIANO, 2009"
"Palaeoncoderes eocenicus PITON & THÉOBALD, 1937"
"Prolamioides bituminosus PITON & THÉOBALD, 1937"
"Ancylochira octomaculata PITON, 1940"
"Ancylochira octomaculata PITON, 1940"
"Pastillocenicus longifrons KIREJTSCHUK & NEL, 2008"
"Rhinocyllus marboreus THÉOBALD, 1935"
"Eopeplus stetzenkoi KIREJTSCHUK & NEL, 2009"
"Pastillocenicus polyaki KIREJTSCHUK & NEL, 2008"
"Laccobius priscus OUSTALET, 1871"
"Carabus neli DEUVE, 1998"
"Protrogosita distincta PITON & THÉOBALD, 1937"
"Lixus ligniticus PITON, 1940"
"Oisenodes gallicus KIREJTSCHUK, HÁVA & NEL, 2010"
"Philantaxoides gallicus BILI & KIREJTSCHUK, 2007"
"Smicrips europeus KIREJTSCHUK & NEL, 2008"
"Staphylinus (Ocypus) provincialis OUSTALET, 1874"
"Bolboceras inermis PITON, 1940"
"Chlaenius primaevus PITON & THÉOBALD, 1939"
"Ancylochira metallica PITON, 1940"
"Ancylochira octomaculata PITON, 1940"
"Psiloptera vermiculata PITON, 1940"
"Oisenodes transversus KIREJTSCHUK, HÁVA & NEL, 2010"
"Oisenodes oisensis KIREJTSCHUK, HÁVA & NEL, 2010"
"Oisenodes clavatus KIREJTSCHUK, HÁVA & NEL, 2010"
"Cyphon gallicus KIREJTSCHUK & NEL, 2008"
"Pastillocenicus longifrons KIREJTSCHUK & NEL, 2008"
"Pastillocenicus longifrons KIREJTSCHUK & NEL, 2008"
"Chrysochroa punctata PITON, 1940"
"Palaeoncoderes piacentini PITON, 1940"
"Acmaeodera perreaui PITON, 1940"
"Semiotus menatensis PITON, 1940"
"Lampetis (Psilopetra) aurostriata PITON, 1940"
"Dineutes giganteus PITON, 1940"
"Oisenodes metepisternalis KIREJTSCHUK, HÁVA & NEL, 2010"
"Hydrophilus magnificus PITON & THÉOBALD, 1939"
"Anthaxia biimpressa PITON, 1940"
"Ancylochira pinguis PITON, 1940"
"Oisenodes azari KIREJTSCHUK, HÁVA & NEL, 2010"
"Hister pitoni THÉOBALD, 1935"
"Donacia splendida THÉOBALD, 1935"
"Micromalthus eocenicus KIREJTSCHUK, NEL & COLLOMB, 2010"
"Eoceniretes yantaricus KIREJTSCHUK & NEL, 2008"
"Oisenodes gallicus KIREJTSCHUK, HÁVA & NEL, 2010"
"Hipporhinus reynesii OUSTALET, 1874"
"Anomalites fugitivus FRIC, 1884"
"Paleoripiphorus deploegi PERRICHOT, NEL & NÉRAUDEAU, 2004"
"Stenus gypsi OUSTALET, 1874"
"Dineutes giganteus PITON, 1940"
"Anomala martyi PITON & THÉOBALD, 1939"
"Cassida dufouri PITON, 1936"
"Polybothris primordialis PITON, 1940"
"Lixus balazuci VOISIN & NEL, 1993"
"Lampetis (Psilopetra) aurostriata PITON, 1940"
"Crinosoma antiqua de CASTELNAU, 1843"
"Apteropoda grossa THÉOBALD, 1935"
"Oisenodes gallicus KIREJTSCHUK, HÁVA & NEL, 2010"
"Oisenodes gallicus KIREJTSCHUK, HÁVA & NEL, 2010"
"Lobateuchus parisii MONTREUIL, GÉNIER & NEL, 2010"
"Acolaspoides longipes MOSEYKO, KIREJTSCHUK & NEL, 2010"
"Macrosiagon deuvei BATELKA, COLLOMB & NEL, 2006"
"Palaeoestes eocenicus KIREJTSCHUK & NEL, 2009"
"Hylobius deletus OUSTALET, 1871"
"Bagous atavus OUSTALET, 1871"
"Euchroma arvernica PITON, 1940"
"Ancylochira oligostriata PITON & THÉOBALD, 1937"
"Stenalia oligocenica NEL, 1985"
"Palaeoncoderes eocenicus PITON & THÉOBALD, 1937"
"Colotes impexus KIREJTSCHUK & NEL, 2008"
"Dicladispa beskonakensis NEL, 1988"
"Troglops punctatissima THÉOBALD, 1935"
"Oisenodes metepisternalis KIREJTSCHUK, HÁVA & NEL, 2010"
"Oisenodes gallicus KIREJTSCHUK, HÁVA & NEL, 2010"
"Aoriopsis eocenicus MOSEYKO, KIREJTSCHUK & NEL, 2010"
"Macrosiagon ebboi PERRICHOT, NEL & NÉRAUDEAU, 2004"
"Bertinotus gallicus KIREJTSCHUK & NEL, 2009"
"Oisegenius antiquus KIREJTSCHUK & NEL, 2008"
"Hetherelus expressus KIREJTSCHUK & NEL, 2008"
"Zonabris immaculatus PITON, 1940"
"Ancylochira violaceocyanescens PITON, 1940"
"Balaninus elegans PITON, 1940"
"Bembidium cyaneomicans PITON, 1940"
"Aphodius charauxi PITON, 1940"
"Prolamioides brunneus PITON, 1940"
"Lampetis (Psilopetra) aurostriata PITON, 1940"
"Staphylinus calvus OUSTALET, 1874"
"Ceutorhynchus chambonensis THÉOBALD, 1935"
"Oisenodes metepisternalis KIREJTSCHUK, HÁVA & NEL, 2010"
"Oisenodes clavatus KIREJTSCHUK, HÁVA & NEL, 2010"
"Oisenodes clavatus KIREJTSCHUK, HÁVA & NEL, 2010"
"Oisenodes azari KIREJTSCHUK, HÁVA & NEL, 2010"
"Oisenodes gallicus KIREJTSCHUK, HÁVA & NEL, 2010"
"Oisenodes gallicus KIREJTSCHUK, HÁVA & NEL, 2010"
"Colotes constantini KIREJTSCHUK & NEL, 2008"
"Cyphon lobanovi KIREJTSCHUK & NEL, 2008"
"Corticaria hodeberti KIREJTSCHUK & NEL, 2009"
"Pastillocenicus longifrons KIREJTSCHUK & NEL, 2008"
"Monohammus orientalis PITON, 1940"
"Proptomaphaginus alleni PERREAU & HAELEWATERE, 2021"
Coleoptera
Coleoptera
"Asiocnemis colombicus Muona, 2022"
"Thambus woodruffi Muona, 2022"
"Neusiokia appalachiensis Muona, 2022"
Leehermania prorova
Syntomostylus? fortis
Protapate contorta
Podabrus wheeleri
Philydrus scudderi
Peltis laminata
Ologlyptus primus
Mordella lapidicola
Meracantha lacustris
Melanactes cockerelli
Macratria gigantea
Lema evanescens
Curculionites vulpinus
Curculionites northropi
Curculionites hylobioides
Corymbites granulicollis
Corymbites primitivus
Carabites kinkaidi
Calosoma cockerelli
Calosoma calvini
Aphodius laminicola
Amphicoma defuncta
Acilius florissantensis
"Erdaia longicornis Muona, 2021"
"Nematodes schwertleitae Muona, 2021"
"Erdaia bispinulosa Muona, 2021"
"Neocharoides balticus Muona, 2021"
"Dyscharachthis frickae Muona, 2021"
"Coomanius balticus Muona, 2021"
"Euryptychus waltrautae Muona, 2021"
"Euryptychus sieglindae Muona, 2021"
"Isorhipis balticus Muona, 2021"
"Microrhagus vetai Muona, 2021"
"Xylophilus balticus Muona, 2021"
"Euryptychus helmwigae Muona, 2021"
"Euryptychus decoratus Muona, 2021"
"Rhacopus balticus Muona, 2021"
"Euryptychoides magnus Muona, 2021"
"Erdaia longitarsis Muona, 2021"
"Poecilochrus balticus Muona, 2021"
"Potergites brittoni Muona, 2021"
"Rhagomicrus balticus Muona, 2021"
"Cupressicharis elongatus Muona, 2020b"
"Falsothambus gracilicornis Muona, 2020b"
"Falsothambus gracilicornis Muona, 2020b"
"Falsothambus burmensis Muona, 2020b"
"Pseudothroscus balticus Muona, 2019"
"Euryptychus burmensis Muona, 2020b"
"Potergus superbus Muona, 2019"
"Euryptychus elegantulus Muona, 2020b"
"Pseudothroscus balticus Muona, 2019"
"Protomicrorhagus antennatus Muona, 2020b"
"Cylus carinifer Muona, 2020b"
"Sieglindea antiqua Muona, 2020b"
"Fiegelia tarsalis Muona, 2020b"
"Paleoeucnemis minutus Muona, 2020b"
"Fiegelia antennata Muona, 2020b"
"Sieglindea antiqua Muona, 2020b"
"Pseudomyall elongatulus Muona, 2020b"
"Euryptychus mysticus Muona, 2020b"
"Trixagus parvulus Muona, 2019"
"Epiphanis burmensis Muona, 2020b"
"Protomicrorhagus brevis Muona, 2020b"
"Tyrannothroscus rex Muona, 2019"
"Protovitellius deceptus Muona, 2020b"
"Euryptychus acutangulus Muona, 2020b"
"Pactopus burmensis Muona, 2019"
"Myall burmensis Muona, 2020b"
"Coenomana brevicornis Muona, 2020b"
"Jenibuntor pusillus Muona, 2020b"
"Falsothambus burmensis Muona, 2020b"
Menephiloides minensis
Ademosynoides japonica
"Paleoendeitoma tuberculata Bullis, 2020"
"Cretonthophilus tuberculatus Caterino, Wolf-Schwenninger & Be"
"Nacaeus dominicanensis Irmler, 2003"
"Stizocera evanescens Vitali, 2010"
"Cyphon wichardi Heuss, 2008"
"Mitosoma rhinoceroide Schawaller, 1981"
"Nacaeus dominicanensis Irmler, 2003"
"Quasipirhidius luzziae Batelka, im Druck"
"Quasipirhidius luzziae Batelka, im Druck"
"Lispinomimus atavus Irmler, 2003"
"Mitosoma rhinoceroide Schawaller, 1981"
"Neorrhipidius seicherti Batelka, im Druck"
"Electrotribus erectosquamata Rheinheimer, 2007"
"Thoracophorus palaeobrevicristatus Irmler, 2003"
"Quasipirhidius luzziae Batelka, im Druck"
"Olemehlia krali Batelka, im Druck"
"Mitosoma rhinoceroide Schawaller, 1981"
"Thoracophorus palaeobrevicristatus Irmler, 2003"
"Quasipirhidius luzziae Batelka, im Druck"
"Hesiodobates antiquus Kaszab & Schawaller, 1984"
"Mitosoma rhinoceroide Schawaller, 1981"
"Nemadus microtomographicus Perreau & Tafforeau, 2010"
"Micromalthus anansi Perkovsky, 2007"
"Electrogymnusa baltica Wolf-Schwenninger, 2004"
"Protoceletes wolfschwenningerae Rheinheimer, 2007"
