scientificName
Rubus idaeus L.
Pyracantha coccinea M.Roem.
Prunus langsdorffii Kirchhoff
Lyonothamnus floribundus A.Gray
Dryas octopetala L.
Crataegus longipetiolata Sarg.
Comarum palustre L.
Alchemilla vulgaris L.
Potentilla fruticosa L.
Acaena caesiiglauca (Bitter) Bergmans
Acaena andina Phil.
Acaena myriophylla Lindl.
Acaena inermis Hook.fil.
Stephanandra incisa (Thunb.) Zabel
Stranvaesia niitakayamensis (Hayata) Hayata
Stranvaesia davidiana Decne.
Spiraea fritschiana C.K.Schneid.
Spiraea betulifolia Pall.
Sorbus pallescens Rehder
Sorbus domestica L.
Spiraea miyabei Koidz.
Sorbus reducta Diels
Spiraea hemicryptophyta Grierson
Sorbus aronioides Rehder
Spiraea blumei G.Don
Sorbus commixta Hedl.
Spiraea henryi Hemsl.
Spiraea japonica L.fil.
Spiraea martinii H.Lév.
Spiraea alba Du Roi
Sorbus decora (Sarg.) C.K.Schneid.
Spiraea tomentosa L.
Spiraea latifolia (Aiton) Borkh.
Sorbus hemsleyi (C.K.Schneid.) Rehder
Sorbus caloneura (Stapf) Rehder
Spiraea veitchii Hemsl.
Sorbus alnifolia (Siebold & Zucc.) K.Koch
Spiraea arcuata Hook.fil.
Spiraea trilobata L.
Spiraea sargentiana Rehder
Spiraea dasyantha Bunge
Sorbaria kirilowii (Regel) Maxim.
Spiraea thunbergii Siebold ex Blume
Spiraea ×bumalda Burv.
Sorbus wilsoniana C.K.Schneid.
Sorbus meliosmifolia Rehder
Spiraea sericea Turcz.
Spiraea prunifolia Siebold & Zucc.
Spiraea hirsuta (Hemsl.) C.K.Schneid.
Spiraea salicifolia L.
Sorbus gracilis (Siebold & Zucc.) K.Koch
Sorbus koehneana C.K.Schneid.
Sanguisorba tenuifolia Fisch. ex Link
Sanguisorba officinalis L.
Sanguisorba minor Scop.
Sarcopoterium spinosum (L.) Spach
Rosa willmottiae Hemsl.
Rosa sikangensis T.T.Yu & T.C.Ku
Rosa gallica L.
Rosa laevigata Michx.
Rosa webbiana Wall.
Rosa rugosa Thunb.
Rosa chinensis Jacq.
Rubus occidentalis L.
Rubus canadensis L.
Rubus strigosus Michx.
Rhodotypos scandens (Thunb.) Makino
Rosa setigera Michx.
Rubus parviflorus Nutt.
Rosa carolina L.
Rosa blanda Aiton
Rubus tricolor Focke
Rosa virginiana Mill.
Rubus odoratus L.
Rosa canina L.
Rosa helenae Rehder & E.H.Wilson
Rosa palustris Buch.-Ham. ex Lindl.
Rosa sericea Lindl.
Rosa pinetorum A.Heller
Rosa kamtchatica Vent.
Rosa hugonis Hemsl.
Rosa sempervirens L.
Rosa arvensis Huds.
Pyrus amygdaliformis Vill.
Purshia mexicana (D.Don) S.L.Welsh
Prunus mume (Siebold) Siebold & Zucc.
Prunus takesimensis Nakai
Prunus takasagomontana Sasaki
Prunus virginiana L.
Prunus spinosa L.
Pyrus pyrifolia (Burm.fil.) Nakai
Prunus pumila L.
Raphiolepis indica (L.) Lindl.
Pyracantha crenulata (D.Don) Roem.
Pyracantha crenatoserrata (Hance) Rehder
Prunus maritima Marshall
Prunus serotina Ehrh.
Pyrus pashia Buch.-Ham. ex D.Don
Prunus salicina Lindl.
Pyrus ussuriensis Maxim.
Pyracantha rogersiana hort. ex L.H.Bailey
Potentilla erecta (L.) Raeusch.
Physocarpus monogynus (Torr.) J.M.Coult.
Potentilla atrosanguinea Lodd.
Potentilla davurica Nestl.
Prunus campanulata Maxim.
Potentilla nepalensis Hook.
Potentilla discolor Bunge
Potentilla reptans L.
Dasiphora fruticosa (L.) Rydb.
Physocarpus intermedius (Rydb.) C.K.Schneid.
Prunus americana Marshall
Sibbaldiopsis tridentata (Aiton) Rydb.
Potentilla simplex Michx.
Physocarpus capitatus (Pursh) Kuntze
Potentilla canadensis L.
Photinia beauverdiana C.K.Schneid.
Physocarpus opulifolius (L.) Maxim.
Prunus cerasoides D.Don
Potentilla atrorubens Rydb.
Potentilla gracilis Wall. ex Hook.fil.
Neviusia alabamensis A.Gray
Osteomeles schwerinae C.K.Schneid.
Neillia sinensis Oliv.
Mespilus germanica L.
Margyricarpus pinnatus (Lam.) Kuntze
Malus sikkimensis (Wenz.) Koehne
Malus sieboldii (Regel) Rehder
Malus ×micromalus Makino
Malus baccata (L.) Moench
Malus coronaria (L.) Mill.
Malus yunnanensis (Franch.) C.K.Schneid.
Malus halliana Koehne
Malus hupehensis (Pamp.) Rehder
Kerria japonica (L.) DC.
Kageneckia oblonga Ruiz & Pav.
Kageneckia angustifolia D.Don
Kageneckia crataegoides D.Don
Ivesia santolinoides A.Gray
Heteromeles arbutifolia (Lindl.) M.Roem.
Horkelia californica Cham. & Schltdl.
Horkelia bolanderi A.Gray
Holodiscus argenteus (L.fil.) Maxim.
Holodiscus discolor (Pursh) Maxim.
Geum macrophyllum Willd.
Geum virginianum L.
Geum urbanum L.
Fragaria moupinensis (Franch.) Cardot
Fragaria vesca L.
Fragaria chiloensis (L.) Duchesne
Fragaria gracilis Losinsk.
Fragaria nilgerrensis Schltdl. ex J.Gay
Filipendula glaberrima (Nakai) Nakai
Filipendula ulmaria (L.) Maxim.
Filipendula rubra (Hill) B.L.Rob.
Filipendula kamtschatica (Pall.) Maxim.
Exochorda racemosa (Lindl.) Rehder
Exochorda giraldii Hesse
Filipendula hexapetala Gilib.
Dichotomanthes tristaniicarpa Kurz
Cotoneaster integerrimus Medik.
Crataegus punctata Jacq.
Crataegus mollis (Torr. & A.Gray) Scheele
Crataegus crus-galli L.
Crataegus coccinea L.
Cotoneaster horizontalis Decne.
Cotoneaster zabelii C.K.Schneid.
Cotoneaster pannosus Franch.
Crataegus pubescens (Kunth) Steud.
Cotoneaster congestus Baker
Cotoneaster microphyllus Wall. ex Lindl.
Cotoneaster ludlowii Klotz
Chaenomeles japonica (Thunb.) Lindl.
Chaenomeles speciosa (Sweet) Nakai
Aronia melanocarpa (Michx.) Elliott
Aruncus dioicus (Walter) Fernald
Aronia arbutifolia (L.) Pers.
Armeniaca mandshurica (Maxim.) Skvortsov
Amelanchier laevis Wiegand
Amelanchier ×intermedia Spach
Amelanchier bartramiana (Tausch) M.Roem.
Amelanchier utahensis Koehne
Amelanchier nervosa (Decne.) Standl.
Malacomeles denticulata (Kunth) G.N.Jones
Alchemilla mollis (Buser) Rothm.
Agrimonia gryposepala Wallr.
Alchemilla guatemalensis Rothm.
Agrimonia eupatoria L.
Rubus microspermus C.Reid & E.Reid
Potentilla argentea L.
Potentilla pliocenica E.Reid
Padus racemosa (Lam.) C.K.Schneid.
Filipendula vulgaris Moench
Crataegus pentagyna Waldst. & Kit. ex Willd.
Crataegus azarolus L.
Crataegus incisa Lange ex Dippel
Aphanes arvensis L.
Amygdalus persicifolia C.O.Weber
Amygdalus dura R.Ludw.
Amygdalus pereger Unger
Cotoneaster primordialis Saporta
Prunus deperdita Heer
Cotoneaster minuta Saporta
Cotoneaster assimilanda Saporta
Prunus mahaleb L.
Cotoneaster socia Saporta
Prunus gracilis Engelm. & Gray
Amygdalus prisca Watelet
Cotoneaster obscurata Saporta
Cotoneaster protogaea Saporta
Rubus caesius L.
Dryas drummondii Richardson
Rubus fruticosus L.
Sorbus aucuparia L.
Argentina parvula (Hook.fil. ex Stapf) Soják
"Rosa hilliae Lesquereux, 1883"
Sorbus ×uzenensis Koidz.
Prunus sargentii Rehder
Sorbus japonica (Decne.) Hedl.
Prunus jamasakura (Makino) Siebold ex Koidz.
Prunus nipponica Matsum.
Pourthiaea villosa (Thunb.) Decne.
Sorbus rufoferruginea (Shirai ex C.K.Schneid.) Koidz.
Prunus lannesiana (Carr) E.H.Wilson
Amelanchier asiatica (Siebold & Zucc.) Endl.
Malus toringo (Siebold) de Vriese
Potentilla yokusaiana Makino
Prunus verecunda (Koidz.) Koehne
Micromeles alnifolia (Siebold & Zucc.) Koehne
Sorbus lancifolia Hedl. ex Dahl
Sorbus lesquereuxii Nath.
Micromeles japonica (Sieb.) Koehne
