scientificName
"Aaptos aaptos (Schmidt, 1864)"
Clathrospongia abacus (Hall)
Dictyophyton abacus Hall
Pachastrella abyssi 
"Cladorhiza abyssicola Sars, 1872"
"Pandaros acanthifolium Duchassaing & Michelotti, 1864"
"Pandaros acanthifolium Duchassaing & Michelotti, 1864"
Ocellaria acellata 
"Latrunculia acerata Ridley & Dendy, 1886"
"Latrunculia acerata Ridley & Dendy, 1886"
"Didiscus aceratus (Ridley & Dendy, 1886)"
"Ancorina acervus (Bowerbank, 1864)"
"Ecionemia acervus Bowerbank, 1864"
"Tethya actinia de Laubenfels, 1950"
"Calcifibrospongia actinostromarioides Hartman, 1979"
"Hymeniacidon actites (Ristau, 1978)"
"Leucophloeus actites Ristau, 1978"
"Acanthella acuta Schmidt, 1862"
Scyphia acuta 
"Mycale adherens (Lambe, 1894)"
"Clathria adioristica (de Laubenfels, 1953)"
Clathria adioristica (de Laubenfels)
"Dictyociona adioristica de Laubenfels, 1953"
"Hymeniacidon adreissiformis Dickinson, 1945"
"Aplysina aerophoba (Nardo, 1833)"
Verongia aerophoba Schmidt
"Microciona affinis (Topsent, 1889)"
"Spongia agaricina Pallas, 1776"
"Spongia agaricina Duchassaing & Michelotti, 1864"
"Spongia agaricina Duchassaing & Michelotti, 1864"
Spongia agaricina 
Spongia agaricina Hyatt
"Spongia agaricina Hyatt, 1877"
Coeloptychium agaricoides Goldfuss
"Myxilla agennes de Laubenfels, 1930"
Plocoscyphia agglomerata 
"Hoplochalina agoga de Laubenfels, 1954"
"Scopalina agoga (de Laubenfels, 1954)"
"Epallax ajax de Laubenfels, 1950"
"Hemiasterella ajax (de Laubenfels, 1950)"
"Ancorina alata Dendy, 1924"
"Ecionemia alata (Dendy, 1924)"
Spongilla alba Carter
"Adocia albifragilis Hechtel, 1965"
Haliclona albifragilis (Hechtel)
"Agelas albolutea Duchassaing & Michelotti, 1864"
"Agelas albolutea Duchassaing & Michelotti, 1864"
Ventriculites alcynoides 
Cinachyra alloclada Uliczka
"Cinachyrella alloclada (Uliczka, 1929)"
Dictyospongia almondensis 
Meta alta 
"Lissodendoryx amaknakensis (Lambe, 1895)"
"Pachychalina amaranthus (Duchassaing & Michelotti, 1864)"
"Phorbas amaranthus Duchassaing & Michelotti, 1864"
"Phorbas amaranthus Duchassaing & Michelotti, 1864"
"Pseudotrachya amaza (de Laubenfels, 1934)"
"Plocamionida ambigua (Bowerbank, 1866)"
"Dysidea amblia (de Laubenfels, 1930)"
Prismodictya amicitlae 
"Hippospongia ammata de Laubenfels, 1954"
"Bubaris ammosclera Hechtel, 1969"
"Haliclona amphioxa (de Laubenfels, 1950)"
"Strongylophora amphioxa de Laubenfels, 1950"
"Oceanapia amphirhiza (Schmidt, 1880)"
"Rhizochalina amphirhiza Schmidt, 1880"
"Homaxinella amphispicula (de Laubenfels, 1961)"
"Syringella amphispicula de Laubenfels, 1961"
"Stelletta anancora (Sollas, 1886)"
Verticillites anastomans 
Barroisia anastomosans Mantell
Tremacystia anastomosans (Mantell)
"Axos anchorata Carter, 1881"
"Desmapsamma anchorata (Carter, 1882)"
"Fibularia anchorata Carter, 1882"
"Fibulia anchorata (Carter, 1881)"
"Polymastia andrica de Laubenfels, 1949"
"Halichondria angulata Bowerbank, 1866"
"Mycale angulosa (Duchassaing & Michelotti, 1864)"
"Pandaros angulosa Duchassaing & Michelotti, 1864"
"Pandaros angulosa Duchassaing & Michelotti, 1864"
"Epipolasis angulospiculata (Carter, 1882)"
"Plakortis angulospiculatus (Carter, 1879)"
"Suberites angulospiculatus Carter, 1879"
Polycoelia angusta Rothpletz
Hexactinella angustata Schrammen
Ventriculites angustatus 
Ventriculites angustatus 
"Tedania anhelans (Vio in Olivi, 1792)"
Pheronema annae (Leidy)
Archaeoscyphia annulata Cullison
Ceratodictya annulata (Hall)
Scytalia annulata 
Hyalostelia anticostiana Twenhofel
Twenhofelella anticostiana (Twenhofel)
"Echinodictyum antrodes (de Laubenfels, 1954)"
"Kieplitela antrodes de Laubenfels, 1954"
"Cinachyra apion Uliczka, 1929"
"Cinachyrella apion (Uliczka, 1929)"
Thysanodictya apleta 
Cypellia applanata 
"Cliona aprica Pang, 1973"
"Cliona aprica Pang, 1973"
"Cliona aprica Pang, 1973"
"Psammaplysilla arabica Keller, 1889"
